Nom,Calories,Protides,Glucides,Lipides
AIL,149,"6,4",33,"0,5"
AIL EN POUDRE,"332,3","16,8","72,7","0,8"
AIL (1 GOUSSE),"4,5",0,1,0
AMANDES BLANCHIES SÉCHÉES,586,"20,4","18,5","52,5"
AMANDES SÉCHÉES,589,20,"20,4",52
ANETH FRAÎCHE,43,"3,5",7,1
ANETH SÉCHÉE,253,20,"55,8","4,4"
ARÔME DE VANILLE,56,0,"14,4",0
ARÔME DE VANILLE (ALCOOLISÉ),237,0,"2,4",0
ASPERGES,28,"2,4",4,"0,3"
ASPERGES (1),"5,6","0,48","0,8","0,06"
AUBERGINE,29,"1,3","5,5",0
AUBERGINE (1),"72,5","3,25","13,75","0,5"
AVOCAT,208,"1,8","7,5",19
AVOCAT (1),520,"4,5","18,75","47,5"
BACON,270,17,0,22
BACON (TRANCHE),54,"3,4","0,04","4,4"
BAGUETTE,"637,5","17,5","137,5",2
BANANE,100,"1,3","22,7","0,5"
BANANE SECHEE,292,4,66,1
BANANE (1),100,"1,3","22,7","0,5"
BAR. LOUP,98,20,0,2
BASILIC FRAIS,27,"2,5","4,3","0,6"
BASILIC (FINES HERBES),251,"14,4",61,4
BETASELEN,0,0,0,0
BETTERAVE ROUGE,41,"1,5","8,5",0
BEURRE,741,"0,8",0,82
BEURRE (1 NOIX),74,"0,08",0,8
BIERE BLONDE,146,"1,07",13,0
BIERE BLONDE (33 CL),146,"1,07",13,0
BIERE ORDINAIRE,33,"0,4","3,5",0
BIFTECK BOEUF,174,25,"0,5",8
BIFTECK CHEVAL,123,23,1,3
BIG MAC MAC DONALD,559,25,"42,6","32,5"
BIGORNEAU,101,20,0,"2,3"
BISCOTTE,411,11,76,7
BISCOTTE (1),"36,58","0,99","6,76","0,62"
BISCUIT SABLE,457,"5,5",75,15
BLANC D'OEUF,49,11,"0,8",0
"BLANC D'OEUF FRAIS, CRU",50,"10,5",1,0
BLANC D'OEUF (1),"21,76","4,88","0,36","0,09"
BLANC DE POULET,142,26,"0,5",4
BOUDIN BLANC,330,15,45,10
BOUDIN NOIR,439,24,3,34
BOUILLON DE VOLAILLE,307,"9,6","65,6","7,5"
BROCHET,93,21,0,1
BUNDY CAP'TAIN CROCO,391,10,64,"10,6"
CABILLAUD,74,16,0,1
CACAHUETTES,576,23,22,44
CAFE FILTRE,"4,3",0,"0,74","0,01"
CAFE FILTRE (1 TASSE),"4,3",0,"0,74","0,01"
CAFE NESCAFE,4,0,"0,8",0
CAFE NESCAFE (1 TASSE),4,0,"0,8",0
CAILLE,115,24,"0,5","1,5"
CAKE,413,"6,4","54,8","18,7"
CALMAR FRIT,167,15,"6,62","8,36"
CALMAR NATURE,92,"16,5","2,6","1,7"
CAMEMBERT ( PORTION 50 G),"149,5","8,75","0,9","12,35"
CAMENBERT,299,"17,5","1,8","24,7"
CANARD ROTI,196,"23,5",0,11
CANNELLE,"261,3","3,9","79,8",3
CÂPRES EN BOÎTE,23,"2,4","4,9","0,9"
CARDAMOME,"311,3","10,8","68,5","6,7"
CARENCYL,0,0,0,0
CAROTTE,40,1,"8,5",0
CAROTTE (1),"28,8","0,79","6,12","0,14"
CARPE,110,"18,5",0,4
CARRELET (POISSON),65,15,"0,5","0,6"
CASSIS,54,1,12,0
CAVIAR,330,30,"7,5",20
CELERI FEUILLE,21,"1,3","3,5",0
CELERI RACINE,44,2,"8,5",0
CELERI RACINE (1),"17,6","0,8","3,4","0,08"
CEREALES CROPSY FRUIT,545,"8,6","56,8","21,4"
CEREALES CROPSY FRUIT (1 BOL),"163,5","2,58","17,04","6,42"
CEREALES NATURE,489,12,65,22
CEREALES NATURE (1 BOL),"146,7","3,6","19,5","6,6"
CERFEUIL,"236,6",23,49,"3,9"
CERISES,68,1,15,"0,4"
CERVELLE D'AGNEAU POELEE,228,"14,4",0,"18,9"
CHAIR A SAUCISSE,421,15,1,38
CHAMPAGNE,60,0,"8,6",0
CHAMPIGNONS,28,2,"4,5","0,3"
CHARLOTTE (GATEAU),306,"5,7",34,"8,3"
CHATAIGNE FRAICHE,200,4,42,3
CHEVAL ROTI,142,"23,9",0,5
CHOCAPIC,375,"7,3","75,8","4,8"
CHOCAPIC (1 BOL),"112,5","2,19","22,74","1,44"
CHOCOLAT A CROQUER,500,7,64,24
CHOCOLAT AU LAIT,550,6,55,34
CHOCOLAT EN POUDRE,400,5,86,4
CHOU-FLEUR,30,"2,4","4,5",0
CHOU CRU,27,"1,4",5,0
CHOU CUIT,41,"1,5",8,"0,4"
CHOUCROUTE,27,"1,3","4,8","0,3"
CHOUX DE BRUXELLES,55,"4,3",8,"0,6"
CHROME 400MCG PICOLINATE,0,0,0,0
CIBOULETTE CRUE,30,"3,3","4,4","0,7"
CIBOULETTE LYOPHILISÉE,311,21,"64,3","3,5"
CITRON JAUNE,34,"0,7","6,5","0,5"
CITRON JAUNE (1),"36,72","0,76","7,02","0,54"
CITRON VERT,31,"0,5",7,0
CITROUILLE,31,"1,3",6,0
CLOUS DE GIROFLE,"322,7",6,61,20
